Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
260000,1.2674204,-0.14902645,38.16618,29.635231,0.1054887,0.00029617685,0.19872561,0.009872688,0.44769156,0.15425877,0.85820323,0.0,827.8333333333334,-0.8274499618758758,-0.8274499618758758,311.0134878754616,1.0
270000,1.2699996,-0.11436972,37.880856,21.47369,0.0983015,0.00029603048,0.19867682,0.009867814,0.34064826,0.120954685,0.8953285,0.0,793.25,-0.4524332831303279,-0.4524332831303279,222.48509573936462,1.0
280000,1.2169313,-0.056097474,39.16654,27.785946,0.10631931,0.0002958752,0.19862507,0.009862644,0.43415388,0.15611902,0.86695844,0.0,730.2,-0.34330663618942103,-0.34330663618942103,271.0271642227968,1.0
290000,1.3148565,-0.056677535,38.282234,21.63309,0.1141954,0.0002957221,0.19857402,0.009857546,0.42609528,0.15488988,0.86891437,0.0,775.8333333333334,-0.5983666206399599,-0.5983666206399599,268.51946957906085,1.0
300000,1.3231424,-0.063421234,36.65864,20.197937,0.102600865,0.00029557457,0.19852486,0.009852633,0.36888096,0.13064279,0.8849906,0.0,733.6666666666666,-0.5476999450474977,-0.5476999450474977,220.08896257479987,1.0
310000,1.177317,-0.044021387,34.565174,21.0808,0.106545694,0.0002954282,0.19847608,0.009847758,0.36400855,0.12814726,0.8880074,0.0,634.9411764705883,0.06108241878888186,0.06108241878888186,199.42571651584962,1.0
320000,1.1477,0.10358263,32.61443,8.985732,0.10037556,0.00029528135,0.19842711,0.009842869,0.37363708,0.13541983,0.88851196,0.0,513.65,0.5834400549530983,0.5834400549530983,128.5772745847702,1.0
330000,1.182306,0.30421397,30.396643,13.535243,0.10586946,0.0002951256,0.1983752,0.0098376805,0.39134425,0.13575706,0.8778372,0.0,457.95238095238096,0.7346400146139785,0.7346400146139785,124.46421189308167,1.0
340000,1.1475445,0.30596027,29.709597,11.12994,0.107236326,0.00029497006,0.19832334,0.009832502,0.39721453,0.14011449,0.87638694,0.0,409.44,1.2107692598812998,1.2107692598812998,102.33165446726176,1.0
350000,1.1997762,0.1491368,26.614975,7.403812,0.109757505,0.0002948225,0.19827417,0.009827589,0.33646974,0.118968524,0.8972421,0.0,615.6875,0.5110000763088465,0.5110000763088465,130.79761961102486,1.0
